品牌,类别,订单来源,订单状态,账期,成交价,订单金额,账单金额,账单二级类型,项目,收件人姓名,收件人姓名_脱敏,收件人手机号,收件人手机号_脱敏
联想（Lenovo）,一体机,京东,报价中,2026-08,,5568.12,524.84,销售订单,PC 经营采购,顾客0051,顾客0051,1**********,1**********
华硕（ASUS）,显示器,拼多多,已成交,2026-02,7899.63,7108.56,7108.56,采购订单,PC 经营采购,顾客0052,顾客0052,1**********,1**********
联想（Lenovo）,电脑配件,淘宝,已成交,2026-07,6121.64,7208.8,7208.8,销售订单,PC 经营采购,顾客0053,顾客0053,1**********,1**********
微星,轻薄本,拼多多,报价中,2026-08,,10759.9,6.38,退换订单,PC 经营采购,顾客0054,顾客0054,1**********,1**********
雷神,游戏本,抖音,已成交,2026-06,8639.92,9700.8,9700.8,采购订单,PC 经营采购,顾客0055,顾客0055,1**********,1**********
七彩虹,笔记本电脑,淘宝,已成交,2026-01,8509.4,9544.95,9544.95,退换订单,PC 经营采购,顾客0056,顾客0056,1**********,1**********
雷神,电脑配件,拼多多,已成交,2026-07,9454.99,9098.05,9098.05,销售订单,PC 经营采购,顾客0057,顾客0057,1**********,1**********
微星,轻薄本,拼多多,已成交,2026-03,10423.49,8977.95,8977.95,退换订单,PC 经营采购,顾客0058,顾客0058,1**********,1**********
机械革命,游戏本,快手,待发布,2026-08,,9099.6,1546.55,退换订单,PC 经营采购,顾客0059,顾客0059,1**********,1**********
联想（Lenovo）,一体机,快手,撤销,2026-08,,5768.31,1208.05,采购订单,PC 经营采购,顾客0060,顾客0060,1**********,1**********
微星,电脑配件,快手,报价中,2026-07,,10368.79,2327.17,采购订单,PC 经营采购,顾客0061,顾客0061,1**********,1**********
七彩虹,笔记本电脑,拼多多,新建采购,2026-02,,9177.1,15.78,采购订单,PC 经营采购,顾客0062,顾客0062,1**********,1**********
宏碁（acer）,轻薄本,快手,待发布,2026-05,,6691.45,1651.18,销售订单,PC 经营采购,顾客0063,顾客0063,1**********,1**********
雷神,台式整机,电商通,已成交,2026-02,7696.68,7646.74,7646.74,退换订单,PC 经营采购,顾客0064,顾客0064,1**********,1**********
微星,显示器,拼多多,撤销,2026-07,,10643.91,1511.27,销售订单,PC 经营采购,顾客0065,顾客0065,1**********,1**********
ThinkPad,轻薄本,电商通,已成交,2026-05,6298.14,7596.55,7596.55,退换订单,PC 经营采购,顾客0066,顾客0066,1**********,1**********
ThinkPad,台式整机,京东,撤销,2026-05,,6971.27,1526.33,采购订单,PC 经营采购,顾客0067,顾客0067,1**********,1**********
联想（Lenovo）,显示器,抖音,撤销,2026-06,,7536.59,1403.77,退换订单,PC 经营采购,顾客0068,顾客0068,1**********,1**********
微星,游戏本,拼多多,已成交,2026-08,9282.72,10751.21,10751.21,采购订单,PC 经营采购,顾客0069,顾客0069,1**********,1**********
ThinkPad,一体机,淘宝,撤销,2026-07,,7526.22,375.84,退换订单,PC 经营采购,顾客0070,顾客0070,1**********,1**********
宏碁（acer）,显示器,电商通,撤销,2026-02,,6352.94,1173.38,销售订单,PC 经营采购,顾客0071,顾客0071,1**********,1**********
宏碁（acer）,电脑配件,电商通,报价中,2026-02,,6511.76,1479.55,退换订单,PC 经营采购,顾客0072,顾客0072,1**********,1**********
联想（Lenovo）,一体机,京东,待发布,2026-02,,6645.0,1273.01,销售订单,PC 经营采购,顾客0073,顾客0073,1**********,1**********
联想（Lenovo）,台式整机,拼多多,已成交,2026-05,6183.67,5884.64,5884.64,退换订单,PC 经营采购,顾客0074,顾客0074,1**********,1**********
ThinkPad,笔记本电脑,拼多多,撤销,2026-02,,7384.37,2103.27,采购订单,PC 经营采购,顾客0075,顾客0075,1**********,1**********
机械革命,游戏本,拼多多,撤销,2026-01,,9911.57,2945.48,退换订单,PC 经营采购,顾客0076,顾客0076,1**********,1**********
ThinkPad,笔记本电脑,天猫,已成交,2026-06,6134.45,7001.31,7001.31,销售订单,PC 经营采购,顾客0077,顾客0077,1**********,1**********
雷神,轻薄本,淘宝,报价中,2026-05,,8753.66,1617.65,销售订单,PC 经营采购,顾客0078,顾客0078,1**********,1**********
联想（Lenovo）,游戏本,电商通,已成交,2026-08,5977.77,6501.86,6501.86,退换订单,PC 经营采购,顾客0079,顾客0079,1**********,1**********
七彩虹,一体机,抖音,撤销,2026-07,,6923.83,1107.91,销售订单,PC 经营采购,顾客0080,顾客0080,1**********,1**********
机械革命,电脑配件,快手,新建采购,2026-07,,9766.07,2572.84,采购订单,PC 经营采购,顾客0081,顾客0081,1**********,1**********
七彩虹,轻薄本,快手,待发布,2026-07,,8050.56,1264.54,销售订单,PC 经营采购,顾客0082,顾客0082,1**********,1**********
华硕（ASUS）,电脑配件,快手,已成交,2026-08,9209.93,7241.3,7241.3,退换订单,PC 经营采购,顾客0083,顾客0083,1**********,1**********
机械革命,台式整机,淘宝,已成交,2026-01,8264.35,10425.89,10425.89,销售订单,PC 经营采购,顾客0084,顾客0084,1**********,1**********
机械革命,台式整机,快手,报价中,2026-06,,8126.61,1617.66,退换订单,PC 经营采购,顾客0085,顾客0085,1**********,1**********
雷神,电脑配件,快手,待发布,2026-01,,8754.68,2045.19,采购订单,PC 经营采购,顾客0086,顾客0086,1**********,1**********
华硕（ASUS）,笔记本电脑,抖音,已成交,2026-03,9117.54,9669.54,9669.54,退换订单,PC 经营采购,顾客0087,顾客0087,1**********,1**********
惠普(HP),一体机,拼多多,已成交,2026-08,8345.21,8777.32,8777.32,退换订单,PC 经营采购,顾客0088,顾客0088,1**********,1**********
机械革命,一体机,拼多多,已成交,2026-04,9443.59,9229.85,9229.85,退换订单,PC 经营采购,顾客0089,顾客0089,1**********,1**********
微星,电脑配件,拼多多,撤销,2026-01,,8863.79,657.65,采购订单,PC 经营采购,顾客0090,顾客0090,1**********,1**********
惠普(HP),显示器,淘宝,已成交,2026-02,6779.74,6694.87,6694.87,采购订单,PC 经营采购,顾客0091,顾客0091,1**********,1**********
宏碁（acer）,台式整机,拼多多,撤销,2026-08,,7848.5,1795.2,退换订单,PC 经营采购,顾客0092,顾客0092,1**********,1**********
机械革命,一体机,拼多多,报价中,2026-03,,9835.9,1046.86,采购订单,PC 经营采购,顾客0093,顾客0093,1**********,1**********
机械革命,轻薄本,天猫,已成交,2026-02,10692.82,9624.25,9624.25,退换订单,PC 经营采购,顾客0094,顾客0094,1**********,1**********
雷神,台式整机,淘宝,已成交,2026-06,8322.07,10051.71,10051.71,销售订单,PC 经营采购,顾客0095,顾客0095,1**********,1**********
联想（Lenovo）,轻薄本,抖音,已成交,2026-07,6835.05,7429.99,7429.99,销售订单,PC 经营采购,顾客0096,顾客0096,1**********,1**********
微星,显示器,快手,报价中,2026-02,,8758.72,2171.97,退换订单,PC 经营采购,顾客0097,顾客0097,1**********,1**********
机械革命,笔记本电脑,抖音,已成交,2026-05,9248.42,8681.41,8681.41,退换订单,PC 经营采购,顾客0098,顾客0098,1**********,1**********
联想（Lenovo）,轻薄本,抖音,已成交,2026-06,5760.25,7534.2,7534.2,采购订单,PC 经营采购,顾客0099,顾客0099,1**********,1**********
七彩虹,笔记本电脑,天猫,已成交,2026-06,9504.77,7108.85,7108.85,采购订单,PC 经营采购,顾客0100,顾客0100,1**********,1**********
ThinkPad,台式整机,抖音,报价中,2026-01,,6539.37,710.19,销售订单,PC 经营采购,顾客0101,顾客0101,1**********,1**********
微星,电脑配件,电商通,已成交,2026-05,8963.78,10852.19,10852.19,采购订单,PC 经营采购,顾客0102,顾客0102,1**********,1**********
七彩虹,显示器,电商通,已成交,2026-06,8955.76,7180.57,7180.57,销售订单,PC 经营采购,顾客0103,顾客0103,1**********,1**********
惠普(HP),台式整机,天猫,已成交,2026-08,8354.3,9285.85,9285.85,采购订单,PC 经营采购,顾客0104,顾客0104,1**********,1**********
ThinkPad,游戏本,快手,撤销,2026-01,,7964.57,2346.39,采购订单,PC 经营采购,顾客0105,顾客0105,1**********,1**********
ThinkPad,台式整机,抖音,已成交,2026-08,6565.67,6594.46,6594.46,退换订单,PC 经营采购,顾客0106,顾客0106,1**********,1**********
惠普(HP),游戏本,电商通,已成交,2026-02,8191.19,7041.42,7041.42,采购订单,PC 经营采购,顾客0107,顾客0107,1**********,1**********
宏碁（acer）,笔记本电脑,电商通,撤销,2026-06,,6607.67,1944.97,采购订单,PC 经营采购,顾客0108,顾客0108,1**********,1**********
宏碁（acer）,笔记本电脑,淘宝,已成交,2026-06,6436.63,7698.84,7698.84,销售订单,PC 经营采购,顾客0109,顾客0109,1**********,1**********
七彩虹,一体机,抖音,报价中,2026-05,,8442.69,2420.02,采购订单,PC 经营采购,顾客0110,顾客0110,1**********,1**********
微星,显示器,拼多多,已成交,2026-07,9273.57,9988.9,9988.9,退换订单,PC 经营采购,顾客0111,顾客0111,1**********,1**********
机械革命,电脑配件,抖音,已成交,2026-03,10183.86,8889.88,8889.88,退换订单,PC 经营采购,顾客0112,顾客0112,1**********,1**********
微星,轻薄本,抖音,新建采购,2026-03,,9700.9,2489.43,采购订单,PC 经营采购,顾客0113,顾客0113,1**********,1**********
机械革命,一体机,抖音,已成交,2026-06,9679.26,11179.0,11179.0,采购订单,PC 经营采购,顾客0114,顾客0114,1**********,1**********
七彩虹,一体机,淘宝,已成交,2026-06,7071.13,8878.98,8878.98,退换订单,PC 经营采购,顾客0115,顾客0115,1**********,1**********
机械革命,笔记本电脑,电商通,报价中,2026-03,,7997.66,1631.35,退换订单,PC 经营采购,顾客0116,顾客0116,1**********,1**********
雷神,轻薄本,快手,撤销,2026-05,,7287.99,996.94,退换订单,PC 经营采购,顾客0117,顾客0117,1**********,1**********
雷神,电脑配件,淘宝,新建采购,2026-02,,9565.99,1674.1,采购订单,PC 经营采购,顾客0118,顾客0118,1**********,1**********
微星,台式整机,天猫,报价中,2026-03,,7854.94,420.27,采购订单,PC 经营采购,顾客0119,顾客0119,1**********,1**********
微星,游戏本,抖音,已成交,2026-07,10875.02,8056.84,8056.84,销售订单,PC 经营采购,顾客0120,顾客0120,1**********,1**********
ThinkPad,显示器,抖音,已成交,2026-06,6682.79,7229.98,7229.98,退换订单,PC 经营采购,顾客0121,顾客0121,1**********,1**********
ThinkPad,轻薄本,拼多多,已成交,2026-05,6512.78,6361.5,6361.5,退换订单,PC 经营采购,顾客0122,顾客0122,1**********,1**********
联想（Lenovo）,轻薄本,京东,已成交,2026-02,6666.55,7727.06,7727.06,销售订单,PC 经营采购,顾客0123,顾客0123,1**********,1**********
ThinkPad,笔记本电脑,快手,撤销,2026-02,,7541.11,2135.95,退换订单,PC 经营采购,顾客0124,顾客0124,1**********,1**********
联想（Lenovo）,轻薄本,电商通,撤销,2026-03,,7404.5,744.33,销售订单,PC 经营采购,顾客0125,顾客0125,1**********,1**********
机械革命,台式整机,拼多多,已成交,2026-04,10379.77,9442.88,9442.88,退换订单,PC 经营采购,顾客0126,顾客0126,1**********,1**********
宏碁（acer）,电脑配件,天猫,已成交,2026-05,7878.37,6369.11,6369.11,销售订单,PC 经营采购,顾客0127,顾客0127,1**********,1**********
ThinkPad,轻薄本,电商通,已成交,2026-04,7881.23,7222.17,7222.17,销售订单,PC 经营采购,顾客0128,顾客0128,1**********,1**********
惠普(HP),游戏本,拼多多,已成交,2026-03,8896.11,7349.35,7349.35,销售订单,PC 经营采购,顾客0129,顾客0129,1**********,1**********
雷神,电脑配件,淘宝,已成交,2026-01,7675.56,7179.58,7179.58,销售订单,PC 经营采购,顾客0130,顾客0130,1**********,1**********
七彩虹,笔记本电脑,快手,撤销,2026-05,,9053.26,1750.5,销售订单,PC 经营采购,顾客0131,顾客0131,1**********,1**********
华硕（ASUS）,笔记本电脑,电商通,撤销,2026-01,,7563.77,118.92,采购订单,PC 经营采购,顾客0132,顾客0132,1**********,1**********
联想（Lenovo）,显示器,拼多多,新建采购,2026-04,,5908.08,1133.27,退换订单,PC 经营采购,顾客0133,顾客0133,1**********,1**********
惠普(HP),笔记本电脑,抖音,已成交,2026-02,7608.83,8235.83,8235.83,退换订单,PC 经营采购,顾客0134,顾客0134,1**********,1**********
华硕（ASUS）,游戏本,抖音,撤销,2026-02,,8266.15,392.73,采购订单,PC 经营采购,顾客0135,顾客0135,1**********,1**********
ThinkPad,一体机,拼多多,撤销,2026-08,,7206.43,894.29,采购订单,PC 经营采购,顾客0136,顾客0136,1**********,1**********
宏碁（acer）,显示器,天猫,已成交,2026-07,7295.27,6185.64,6185.64,销售订单,PC 经营采购,顾客0137,顾客0137,1**********,1**********
联想（Lenovo）,显示器,抖音,撤销,2026-04,,5961.79,1308.99,采购订单,PC 经营采购,顾客0138,顾客0138,1**********,1**********
联想（Lenovo）,台式整机,京东,报价中,2026-03,,7755.9,401.63,采购订单,PC 经营采购,顾客0139,顾客0139,1**********,1**********
ThinkPad,电脑配件,抖音,报价中,2026-05,,7999.52,1458.58,退换订单,PC 经营采购,顾客0140,顾客0140,1**********,1**********
微星,显示器,快手,报价中,2026-08,,10646.11,2956.63,销售订单,PC 经营采购,顾客0141,顾客0141,1**********,1**********
微星,台式整机,淘宝,已成交,2026-05,10964.75,10613.02,10613.02,退换订单,PC 经营采购,顾客0142,顾客0142,1**********,1**********
机械革命,显示器,拼多多,已成交,2026-03,10946.57,8331.66,8331.66,退换订单,PC 经营采购,顾客0143,顾客0143,1**********,1**********
雷神,一体机,电商通,报价中,2026-02,,8592.29,1161.29,销售订单,PC 经营采购,顾客0144,顾客0144,1**********,1**********
宏碁（acer）,台式整机,电商通,已成交,2026-02,7783.71,6937.1,6937.1,退换订单,PC 经营采购,顾客0145,顾客0145,1**********,1**********
雷神,笔记本电脑,拼多多,撤销,2026-08,,8389.21,941.73,退换订单,PC 经营采购,顾客0146,顾客0146,1**********,1**********
雷神,电脑配件,电商通,撤销,2026-07,,9147.43,973.21,销售订单,PC 经营采购,顾客0147,顾客0147,1**********,1**********
华硕（ASUS）,轻薄本,电商通,已成交,2026-04,7877.5,7795.56,7795.56,采购订单,PC 经营采购,顾客0148,顾客0148,1**********,1**********
机械革命,游戏本,快手,已成交,2026-02,9238.83,11208.68,11208.68,销售订单,PC 经营采购,顾客0149,顾客0149,1**********,1**********
七彩虹,轻薄本,电商通,撤销,2026-07,,8767.87,582.31,销售订单,PC 经营采购,顾客0150,顾客0150,1**********,1**********
宏碁（acer）,显示器,天猫,已成交,2026-01,6216.02,6091.58,6091.58,退换订单,PC 经营采购,顾客0151,顾客0151,1**********,1**********
雷神,笔记本电脑,抖音,已成交,2026-07,8898.87,9515.31,9515.31,采购订单,PC 经营采购,顾客0152,顾客0152,1**********,1**********
机械革命,台式整机,拼多多,已成交,2026-06,9524.89,9801.94,9801.94,退换订单,PC 经营采购,顾客0153,顾客0153,1**********,1**********
ThinkPad,电脑配件,拼多多,已成交,2026-06,7873.44,8214.25,8214.25,销售订单,PC 经营采购,顾客0154,顾客0154,1**********,1**********
七彩虹,笔记本电脑,淘宝,已成交,2026-06,7071.37,7301.64,7301.64,采购订单,PC 经营采购,顾客0155,顾客0155,1**********,1**********
七彩虹,一体机,电商通,撤销,2026-08,,7590.17,1760.82,采购订单,PC 经营采购,顾客0156,顾客0156,1**********,1**********
宏碁（acer）,台式整机,拼多多,新建采购,2026-03,,7928.3,180.69,采购订单,PC 经营采购,顾客0157,顾客0157,1**********,1**********
雷神,电脑配件,天猫,已成交,2026-01,8176.4,9688.34,9688.34,销售订单,PC 经营采购,顾客0158,顾客0158,1**********,1**********
雷神,笔记本电脑,快手,已成交,2026-04,7506.01,10126.61,10126.61,退换订单,PC 经营采购,顾客0159,顾客0159,1**********,1**********
ThinkPad,显示器,天猫,报价中,2026-08,,7508.53,1491.38,采购订单,PC 经营采购,顾客0160,顾客0160,1**********,1**********
ThinkPad,轻薄本,淘宝,已成交,2026-07,8113.8,8118.18,8118.18,退换订单,PC 经营采购,顾客0161,顾客0161,1**********,1**********
雷神,显示器,抖音,撤销,2026-04,,10158.6,1855.92,销售订单,PC 经营采购,顾客0162,顾客0162,1**********,1**********
七彩虹,电脑配件,淘宝,新建采购,2026-07,,8505.71,178.55,退换订单,PC 经营采购,顾客0163,顾客0163,1**********,1**********
七彩虹,轻薄本,抖音,已成交,2026-06,8742.99,7940.59,7940.59,销售订单,PC 经营采购,顾客0164,顾客0164,1**********,1**********
惠普(HP),游戏本,拼多多,撤销,2026-06,,8749.45,1506.72,采购订单,PC 经营采购,顾客0165,顾客0165,1**********,1**********
联想（Lenovo）,电脑配件,拼多多,待发布,2026-01,,6598.64,1359.66,销售订单,PC 经营采购,顾客0166,顾客0166,1**********,1**********
机械革命,台式整机,抖音,已成交,2026-05,10263.57,11158.15,11158.15,销售订单,PC 经营采购,顾客0167,顾客0167,1**********,1**********
华硕（ASUS）,电脑配件,拼多多,已成交,2026-06,8620.44,7614.5,7614.5,退换订单,PC 经营采购,顾客0168,顾客0168,1**********,1**********
宏碁（acer）,电脑配件,京东,撤销,2026-02,,6293.32,1418.36,退换订单,PC 经营采购,顾客0169,顾客0169,1**********,1**********
微星,轻薄本,抖音,已成交,2026-05,8233.63,8271.14,8271.14,采购订单,PC 经营采购,顾客0170,顾客0170,1**********,1**********
微星,电脑配件,拼多多,已成交,2026-01,10191.27,8242.73,8242.73,销售订单,PC 经营采购,顾客0171,顾客0171,1**********,1**********
ThinkPad,一体机,电商通,新建采购,2026-07,,7440.31,1085.45,销售订单,PC 经营采购,顾客0172,顾客0172,1**********,1**********
ThinkPad,显示器,京东,已成交,2026-02,6880.89,6301.52,6301.52,退换订单,PC 经营采购,顾客0173,顾客0173,1**********,1**********
华硕（ASUS）,一体机,拼多多,已成交,2026-04,8291.06,9571.96,9571.96,退换订单,PC 经营采购,顾客0174,顾客0174,1**********,1**********
雷神,一体机,拼多多,已成交,2026-02,8708.83,9208.06,9208.06,退换订单,PC 经营采购,顾客0175,顾客0175,1**********,1**********
微星,台式整机,淘宝,已成交,2026-06,9710.2,7860.45,7860.45,销售订单,PC 经营采购,顾客0176,顾客0176,1**********,1**********
微星,台式整机,快手,新建采购,2026-08,,9793.52,244.2,销售订单,PC 经营采购,顾客0177,顾客0177,1**********,1**********
雷神,笔记本电脑,天猫,撤销,2026-04,,10171.8,402.02,退换订单,PC 经营采购,顾客0178,顾客0178,1**********,1**********
惠普(HP),电脑配件,京东,已成交,2026-02,8475.22,6763.92,6763.92,采购订单,PC 经营采购,顾客0179,顾客0179,1**********,1**********
华硕（ASUS）,显示器,拼多多,撤销,2026-03,,8653.67,1499.12,退换订单,PC 经营采购,顾客0180,顾客0180,1**********,1**********
宏碁（acer）,游戏本,抖音,待发布,2026-07,,7056.78,1199.37,采购订单,PC 经营采购,顾客0181,顾客0181,1**********,1**********
惠普(HP),电脑配件,天猫,报价中,2026-04,,7485.06,90.46,退换订单,PC 经营采购,顾客0182,顾客0182,1**********,1**********
惠普(HP),轻薄本,京东,已成交,2026-01,7128.9,8386.62,8386.62,销售订单,PC 经营采购,顾客0183,顾客0183,1**********,1**********
宏碁（acer）,显示器,拼多多,已成交,2026-03,6686.14,6094.39,6094.39,销售订单,PC 经营采购,顾客0184,顾客0184,1**********,1**********
华硕（ASUS）,显示器,电商通,报价中,2026-06,,7350.53,1753.64,采购订单,PC 经营采购,顾客0185,顾客0185,1**********,1**********
惠普(HP),电脑配件,快手,撤销,2026-08,,6877.96,2054.6,采购订单,PC 经营采购,顾客0186,顾客0186,1**********,1**********
华硕（ASUS）,一体机,抖音,已成交,2026-01,8988.76,8261.84,8261.84,采购订单,PC 经营采购,顾客0187,顾客0187,1**********,1**********
华硕（ASUS）,游戏本,天猫,撤销,2026-06,,9310.22,993.42,销售订单,PC 经营采购,顾客0188,顾客0188,1**********,1**********
微星,笔记本电脑,抖音,已成交,2026-05,8136.73,8481.14,8481.14,退换订单,PC 经营采购,顾客0189,顾客0189,1**********,1**********
华硕（ASUS）,笔记本电脑,抖音,已成交,2026-04,9379.65,9939.32,9939.32,退换订单,PC 经营采购,顾客0190,顾客0190,1**********,1**********
微星,游戏本,淘宝,已成交,2026-04,8275.6,10599.87,10599.87,采购订单,PC 经营采购,顾客0191,顾客0191,1**********,1**********
机械革命,电脑配件,拼多多,已成交,2026-05,8888.82,9089.32,9089.32,采购订单,PC 经营采购,顾客0192,顾客0192,1**********,1**********
华硕（ASUS）,轻薄本,抖音,已成交,2026-06,7523.39,9242.57,9242.57,退换订单,PC 经营采购,顾客0193,顾客0193,1**********,1**********
